2020-09-02 15:51:40,783 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
2020-09-02 15:53:13,626 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
2020-09-02 15:56:19,930 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
2020-09-02 16:01:02,073 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
2020-09-02 16:01:49,822 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
2020-09-08 16:48:59,173 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
2020-09-08 17:45:37,065 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
2020-09-08 17:48:32,984 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
2020-09-08 17:50:31,048 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
2020-09-08 17:54:59,236 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
2020-09-08 17:55:48,270 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
2020-09-08 17:57:04,197 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
2020-09-08 17:57:44,606 Namespace(caption_file_path='.\\datasets\\captions.csv', do_sampling=1, image_file_path='.\\datasets\\images', test_file_path='.\\datasets\\test_list.csv', train_file_path='.\\datasets\\train_list.csv')
